site,event_start,event_end
ban,1/8/2017 9:30,1/9/2017 16:00
ban,2/10/2017 22:00,2/12/2017 0:00
bol,1/8/2017 13:00,1/13/2017 8:00
bol,1/17/2017 8:00,1/21/2017 8:00
bol,1/28/2017 12:00,1/30/2017 12:00
bol,2/10/2017 22:00,2/13/2017 12:00
bol,2/16/2017 15:30,2/19/2017 12:00
bol,3/5/2017 8:08,3/6/2017 12:00
bol,3/6/2017 22:30,3/13/2017 8:00
bol,3/29/2017 0:00,4/2/2017 16:00
car,1/8/2017 1:46,1/13/2017 8:00
car,1/18/2017 18:30,1/20/2017 12:00
car,2/10/2017 22:00,2/12/2017 8:00
car,2/16/2017 7:30,2/18/2017 12:00
car,3/5/2017 8:08,3/13/2017 12:00
cud,2/25/2017 18:30,3/1/2017 20:00
dad,1/1/2017 21:06,1/3/2017 12:00
dad,1/23/2017 11:30,1/27/2017 16:00
dad,2/16/2017 15:22,2/18/2017 0:00
dad,2/21/2017 17:30,2/24/2017 0:00
dad,2/24/2017 4:00,2/25/2017 16:00
dad,2/27/2017 12:00,3/3/2017 0:00
gaa,1/21/2017 18:30,1/24/2017 16:00
gam,2/10/2017 22:00,2/12/2017 8:00
hin,1/9/2017 21:30,1/13/2017 16:00
ime,1/14/2017 16:30,1/16/2017 8:00
ina,3/13/2017 17:00,3/17/2017 16:00
lay,1/9/2017 6:00,1/13/2017 8:00
lay,1/16/2017 14:00,1/18/2017 8:00
lay,3/13/2017 16:00,3/15/2017 12:00
lay,3/15/2017 17:00,3/17/2017 16:00
lip,1/8/2017 7:16,1/12/2017 16:00
lip,1/17/2017 8:00,1/20/2017 16:00
lip,1/28/2017 12:00,1/30/2017 12:00
lip,2/10/2017 22:00,2/12/2017 0:00
lip,2/16/2017 16:00,2/22/2017 4:00
lip,3/5/2017 8:08,3/6/2017 12:00
lip,3/8/2017 4:30,3/11/2017 12:00
lip,3/29/2017 0:00,3/31/2017 0:00
lip,3/31/2017 10:00,4/2/2017 8:00
loo,1/19/2017 7:30,1/20/2017 16:00
loo,1/21/2017 2:30,1/22/2017 20:00
loo,1/28/2017 12:00,1/30/2017 12:00
loo,1/30/2017 22:00,2/2/2017 0:00
loo,2/10/2017 22:00,2/12/2017 0:00
loo,2/16/2017 10:00,2/18/2017 8:00
lte,1/10/2017 1:30,1/13/2017 12:00
lun,2/10/2017 22:00,2/12/2017 12:00
mag,3/13/2017 14:30,3/14/2017 16:00
mca,1/6/2017 23:00,1/8/2017 16:00
mca,1/8/2017 15:30,1/9/2017 16:00
mca,1/19/2017 4:30,1/22/2017 16:00
mca,1/28/2017 14:30,1/30/2017 8:00
mca,2/10/2017 22:00,2/12/2017 0:00
mca,2/16/2017 5:00,2/20/2017 0:00
mca,3/6/2017 15:30,3/8/2017 4:00
mng,1/9/2017 15:30,1/13/2017 12:00
mng,1/16/2017 10:30,1/18/2017 8:00
mng,3/13/2017 4:30,3/15/2017 4:00
msl,1/31/2017 16:00,2/2/2017 12:00
msl,2/16/2017 3:30,2/19/2017 16:00
msl,2/24/2017 0:00,2/28/2017 12:00
msu,1/31/2017 16:00,2/2/2017 12:00
msu,2/16/2017 3:30,2/19/2017 16:00
msu,2/24/2017 0:00,2/28/2017 12:00
nur,1/7/2017 1:00,1/14/2017 20:00
nur,1/28/2017 9:30,1/30/2017 12:00
nur,2/10/2017 22:00,2/12/2017 0:00
nur,2/16/2017 6:00,2/22/2017 0:00
nur,3/2/2017 5:00,3/5/2017 20:00
nur,3/6/2017 3:30,3/12/2017 20:00
osl,1/8/2017 22:00,1/10/2017 12:00
osl,2/10/2017 22:00,2/12/2017 12:00
osl,2/14/2017 9:00,2/15/2017 16:00
osl,3/5/2017 8:08,3/6/2017 16:00
par,1/9/2017 6:00,1/13/2017 8:00
par,1/16/2017 14:00,1/18/2017 8:00
par,2/17/2017 12:30,2/18/2017 16:00
par,3/8/2017 6:00,3/9/2017 16:00
png,1/9/2017 19:00,1/14/2017 12:00
sib,1/5/2017 15:00,1/9/2017 8:00
sib,1/17/2017 19:30,1/22/2017 16:00
sib,1/23/2017 15:30,1/27/2017 16:00
sib,2/15/2017 12:30,2/20/2017 4:00
sib,2/20/2017 6:00,2/21/2017 20:00
sib,2/24/2017 5:30,2/25/2017 8:00
sib,3/3/2017 17:00,3/4/2017 20:00
sib,3/6/2017 2:00,3/12/2017 20:00
sib,3/16/2017 8:00,3/17/2017 20:00
sib,3/28/2017 9:00,3/31/2017 12:00
sin,2/2/2017 3:00,2/3/2017 12:00
sum,1/9/2017 3:00,1/10/2017 20:00
sum,1/19/2017 7:00,1/20/2017 16:00
sum,1/28/2017 12:00,1/30/2017 12:00
sum,1/30/2017 21:00,2/1/2017 12:00
sum,2/10/2017 22:00,2/12/2017 0:00
sum,2/16/2017 10:00,2/18/2017 8:00
sum,3/6/2017 9:30,3/10/2017 8:00
sum,3/16/2017 18:30,3/17/2017 20:00
